@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.RemoveUseless-M50.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
0.892217,0.782886,0.942308,0.581489,0.569231,0.493036,0.280612,0.233463,0.32872,0.255319,0.771069,0.91018,0.831683,Baja
0.91018,0.761175,0.980769,0.589537,0.579487,0.640669,0.265306,0.229572,0.290657,0.267835,0.753459,0.916168,0.831683,Media
0.892217,0.772669,1,0.668008,0.605128,0.62117,0.469388,0.389105,0.20346,0.190238,0.750943,0.934132,0.831683,Media
0.946106,0.780332,0.884615,0.663984,0.653846,0.649025,0.418367,0.377432,0.20346,0.211514,0.754717,0.964072,0.831683,Media
0.94012,0.777778,0.865385,0.674044,0.733333,0.590529,0.520408,0.478599,0.229066,0.209011,0.755975,0.97006,0.841584,Media
0.91018,0.773946,0.961538,0.6499,0.751282,0.576602,0.545918,0.498054,0.290657,0.212766,0.755975,0.94012,0.841584,Moderada
0.91018,0.770115,0.903846,0.615694,0.805128,0.557103,0.535714,0.478599,0.290657,0.317897,0.752201,0.952096,0.831683,Moderada
0.934132,0.753512,0.807692,0.593561,0.78718,0.551532,0.612245,0.575875,0.290657,0.317897,0.734591,0.946108,0.831683,Moderada
0.952097,0.738186,0.846154,0.575453,0.789744,0.54039,0.55102,0.501946,0.37301,0.339174,0.72956,0.958084,0.831683,Moderada
0.946106,0.702427,0.942308,0.60161,0.758974,0.532033,0.556122,0.513619,0.37301,0.296621,0.684277,0.952096,0.831683,Moderada
0.88024,0.698595,1,0.641851,0.61282,0.649025,0.377551,0.330739,0.425606,0.370463,0.685535,0.928144,0.831683,Media
0.88024,0.698595,0.980769,0.587525,0.45641,0.754875,0.234694,0.198444,0.425606,0.401752,0.695597,0.892216,0.831683,Baja
0.898203,0.702427,0.923077,0.585513,0.374359,0.779944,0.25,0.217899,0.32872,0.329161,0.704403,0.892216,0.851485,Baja
0.856286,0.703704,0.942308,0.617706,0.335897,0.774373,0.280612,0.241245,0.37301,0.31164,0.701887,0.91018,0.841584,Baja
