@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2'

@attribute pres numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
99600,-4.899994,13,7.69,5.68,9.7,Media
99760,-3.300003,12.2,7.14,4.9,10.4,Media
99860,1.300003,11,5.26,4.75,10.7,Baja
99790,3,6.4,7.69,4.83,10.3,Baja
99570,4.199997,2.8,11.43,5.71,9.9,Baja
99350,3.100006,2.9,12.12,7.06,10.2,Baja
99120,3,4.5,12.12,7.85,10.3,Media
98900,2,6.2,14.81,9.49,10.2,Media
98560,-1.099991,8.8,12.9,8.03,10.3,Media
98110,-4.800003,13.1,12.12,5.95,10.3,Moderada
97890,-4,18.8,5.88,5.79,9.3,Moderada
97840,-0.3,8.8,8.33,6.43,11.4,Moderada
97920,1.200001,8.1,10.81,7,11.1,Moderada
97970,-1,3.1,10.81,7.43,10.6,Moderada
98240,-3.799999,6.5,10.81,7.73,10.7,Moderada
98600,-0.1,12.1,7.69,5.98,10.3,Moderada
98870,1.6,11.7,11.43,6.29,9.2,Moderada
98980,3.4,7.8,10,6.58,8.9,Moderada
98720,3.100002,8.1,10.81,7.47,9,Media
98270,-1.9,9.6,9.09,6.41,9.6,Media
97850,-7.899997,11,9.09,5.67,9.9,Moderada
97460,-8.599998,11.1,9.09,6.09,9.3,Moderada
97340,-6.599998,8.8,9.09,6.82,11.1,Moderada
97350,-4.5,10.5,8.33,6.35,10.4,Moderada
97630,5.8,9,10,7.43,10,Moderada
98100,13.000002,18.6,9.09,6.48,9,Moderada
98620,11.3,15.1,8.33,6.3,9.6,Moderada
99010,2.400002,8,9.09,6.19,9.7,Media
99200,-6.499999,11,10.81,5.74,10.2,Moderada
99660,-10.999998,12.6,11.43,5.84,10.5,Moderada
100130,-9.8,11.7,7.69,5.54,10.6,Moderada
100600,-7.799998,7.3,12.12,6.44,10.4,Media
100810,-7.8,6.9,10.81,6.18,10,Media
100940,-6.899999,4.9,11.43,7.21,9.8,Media
100980,-6.999999,5.4,10,6.2,9.2,Media
100990,-5.9,6.1,8.33,7.17,8.9,Media
100930,-5.099997,3.3,7.14,6.2,8.4,Media
100910,-5.3,6.2,7.69,5.82,9,Baja
100930,-5.299998,5.8,6.67,5.65,9.7,Baja
101080,-3.799999,8.3,7.69,5.09,8.8,Baja
101170,-1.299999,7.1,7.69,5.09,8.4,Baja
101200,-0.5,4.8,7.69,5.23,7.9,Baja
101170,-1.299999,4.6,6.67,5.12,8,Baja
101150,-3.699998,4.2,6.67,5.78,8.1,Baja
101010,-6.3,6.3,5.88,4.98,8.4,Baja
100850,-8.199999,8.5,12.9,3.83,8.2,Baja
100510,-9.3,10.6,11.43,4.73,9,Baja
100360,-8.199999,8.8,5,4.43,9,Media
100040,-6.299998,11,10.81,5.98,9.5,Moderada
99830,-1.599998,5.1,9.09,7.13,9.1,Media
99690,3.6,3.8,11.43,7.32,9.1,Moderada
99640,8,9.2,11.43,6.98,8.5,Media
99820,8.4,8,10.81,6.19,8.7,Media
100000,7.900002,9.7,10,6.34,8.4,Moderada
100150,4.1,5.9,10.81,8.07,8.3,Moderada
100140,0.500003,7.7,12.9,8.51,7.2,Moderada
100060,1.300002,1.8,12.12,8.29,7.5,Moderada
99910,0.600002,6.5,12.9,8.35,8.5,Moderada
99830,3.3,10.6,11.43,6.92,8.7,Moderada
99840,1.6,13.6,10.81,6.31,7.2,Media
99820,0.9,9.6,11.43,5.84,6.4,Moderada
99600,6.300003,9.1,8.33,6.28,7.7,Media
98930,10.4,13.7,10,5.65,8.8,Moderada
98880,6.3,14.7,9.09,5.67,8.8,Moderada
99240,6.100001,13.9,9.09,6.54,9.4,MuyAlta
99220,11.3,13.5,11.43,7.32,9,MuyAlta
99350,7.200003,12.8,12.12,7.35,8.5,MuyAlta
99520,7.400002,15.6,14.81,8.1,9.3,MuyAlta
99900,5.9,13.2,14.81,7.51,9,MuyAlta
100210,6.100003,15.1,13.79,8.52,8.5,MuyAlta
100460,7.200002,10.8,13.79,8.4,7.7,MuyAlta
100340,8.6,10.5,13.79,9.04,9.2,Moderada
100090,3.500001,7.2,11.43,7.79,9.1,Moderada
99640,0.100002,7.2,13.79,8.17,8.6,Moderada
99410,-5.499999,5.7,12.12,8.03,6.8,Media
99480,-0.799998,12.8,10.81,5.95,8.1,Moderada
99840,2.7,11.1,10,6.46,7.8,Moderada
100160,8.200002,11.5,10.81,5.73,7.2,Moderada
100380,8.8,11.7,10,6.44,8.5,Moderada
100590,8.900002,12.7,10.81,6.21,8.7,Moderada
100390,7.100003,15.2,8.33,6.13,7,Media
99930,2.6,7.2,8.33,6.16,8,Media
99490,-0.1,4.1,9.09,6.73,7.4,Media
99560,3.8,9.6,9.09,6.11,6.9,Media
99760,7.000001,8.8,8.33,5.66,7.2,Media
99860,9.400002,9,9.09,5.96,8.2,Moderada
99400,10.800001,15.4,11.43,5.77,9.8,MuyAlta
99440,8.9,18.3,9.09,6.46,9.6,MuyAlta
100070,10.300001,11,10.81,7.61,9.9,Moderada
100310,14.200002,11.7,10,6.71,10.1,MuyAlta
100540,14.800003,13.9,10.81,7.71,9.9,MuyAlta
100880,10.3,10.4,11.43,7.89,8.8,MuyAlta
101060,9.700003,10.4,12.12,7.8,8.5,Moderada
101310,7.000001,11.5,12.12,7.3,9.1,MuyAlta
101530,0.4,9.5,10.81,7.88,9.1,Moderada
101860,-0.3,7.2,10.81,6.77,8.5,Moderada
102150,4.6,9.3,9.09,7.12,8.5,Media
102310,6.300002,10,9.09,6.34,9.1,Media
102280,9.300001,10.9,9.09,6.02,9.2,Moderada
102280,10.000003,9.7,9.09,6.43,9.7,Moderada
102270,9.2,10.3,11.43,7.57,9.6,Moderada
102290,6.5,8.7,12.9,7.66,9.8,Moderada
102200,5.500001,7.2,11.43,7.34,9.6,Moderada
101960,5.700002,13.1,12.12,6.54,9.3,Moderada
101760,9.9,15.1,6.67,5.71,8.9,Moderada
101860,6.5,13.6,10,6.45,9.6,Moderada
101650,4.800002,14,6.25,5.98,9.8,Moderada
101490,6.5,16.6,7.14,6.17,9.9,Moderada
101480,7.700002,14.9,9.09,6.33,10.1,MuyAlta
101490,6.1,15.2,8.33,6.74,10.2,MuyAlta
101450,5.5,15.5,11.43,6.88,9.9,MuyAlta
101370,3.8,15.6,11.43,7.56,9.5,MuyAlta
101400,4.900002,14,10.81,7.84,9.1,MuyAlta
101490,4.6,12,12.12,7.61,8.9,Moderada
101470,3.400003,12.2,10.81,6.91,8.9,Moderada
101430,5.4,13,11.43,7.28,9.1,Moderada
101650,5.8,13.8,10.81,6.58,9.4,Moderada
